Имя объекта;Тип объекта;Синоним;Файл
Справочник.НастройкиНумерацииДоговоровКонтрагентов;Справочник;Налаштування нумерації договорів контрагентів;Справочник_НастройкиНумерацииДоговоровКонтрагентов.md
Справочник.НастройкиРабочегоМестаКассира;Справочник;Налаштування універсального робочого місця касира;Справочник_НастройкиРабочегоМестаКассира.md
Справочник.НастройкиРассылкиСостояниеКомпании;Справочник;Налаштування розсилки Стан компанії;Справочник_НастройкиРассылкиСостояниеКомпании.md
Справочник.НастройкиРМК;Справочник;Налаштування робочого місця касира;Справочник_НастройкиРМК.md
Справочник.Номенклатура;Справочник;Номенклатура;Справочник_Номенклатура.md
Справочник.НоменклатураГТД;Справочник;Коди номенклатури для ПН;Справочник_НоменклатураГТД.md
Справочник.НоменклатураПрисоединенныеФайлы;Справочник;Приєднані файли (Номенклатура);Справочник_НоменклатураПрисоединенныеФайлы.md
Справочник.НомераГТД;Справочник;Номера ВМД;Справочник_НомераГТД.md
Справочник.НСИСДополнительныеФайлы;Справочник;Додаткові файли RDI;Справочник_НСИСДополнительныеФайлы.md
Справочник.ОбработчикиОчередиЗаданий;Справочник;Обробники черги завдань;Справочник_ОбработчикиОчередиЗаданий.md
Справочник.ОбщиеВнешниеКомпоненты;Справочник;Загальні зовнішні компоненти;Справочник_ОбщиеВнешниеКомпоненты.md
Справочник.ОбщиеДанныеИнформационногоЦентра;Справочник;Загальні дані інформаційного центру;Справочник_ОбщиеДанныеИнформационногоЦентра.md
Справочник.ОповещенияПользователей;Справочник;Сповіщення користувачів;Справочник_ОповещенияПользователей.md
Справочник.Организации;Справочник;Організації;Справочник_Организации.md
Справочник.ОрганизацииПрисоединенныеФайлы;Справочник;Приєднані файли (Організації);Справочник_ОрганизацииПрисоединенныеФайлы.md
Справочник.ОтчетКомиссионераОСписанииПрисоединенныеФайлы;Справочник;Приєднані файли (Звіт комісіонера про списання);Справочник_ОтчетКомиссионераОСписанииПрисоединенныеФайлы.md
Справочник.ОтчетКомиссионераПрисоединенныеФайлы;Справочник;Приєднані файли (Звіт комісіонера);Справочник_ОтчетКомиссионераПрисоединенныеФайлы.md
Справочник.ОтчетОРозничныхПродажахПрисоединенныеФайлы;Справочник;Приєднані файли (Звіт про роздрібні продажі);Справочник_ОтчетОРозничныхПродажахПрисоединенныеФайлы.md
Справочник.ОчередьЗаданий;Справочник;Черга завдань;Справочник_ОчередьЗаданий.md
Справочник.ПапкиФайлов;Справочник;Теки;Справочник_ПапкиФайлов.md
Справочник.ПараметрыРасчетов;Справочник;Параметри розрахунків;Справочник_ПараметрыРасчетов.md
Справочник.ПараметрыРасчетовДоставки;Справочник;Параметри розрахунків доставки;Справочник_ПараметрыРасчетовДоставки.md
Справочник.ПартииНоменклатуры;Справочник;Партії номенклатури;Справочник_ПартииНоменклатуры.md
Справочник.ПартииНоменклатурыПрисоединенныеФайлы;Справочник;Приєднані файли (Партії номенклатури);Справочник_ПартииНоменклатурыПрисоединенныеФайлы.md
Справочник.ПеремещениеЗапасовПрисоединенныеФайлы;Справочник;Приєднані файли (Переміщення запасів);Справочник_ПеремещениеЗапасовПрисоединенныеФайлы.md
Справочник.ПересортицаЗапасовПрисоединенныеФайлы;Справочник;Приєднані файли (Пересортиця запасів);Справочник_ПересортицаЗапасовПрисоединенныеФайлы.md
Справочник.ПлатежноеПоручениеПрисоединенныеФайлы;Справочник;Приєднані файли (Платіжне доручення);Справочник_ПлатежноеПоручениеПрисоединенныеФайлы.md
Справочник.ПодключаемоеОборудование;Справочник;Торгове обладнання;Справочник_ПодключаемоеОборудование.md
Справочник.Подписи;Справочник;Підписи;Справочник_Подписи.md
